School,School County,LC sits 2021,2021 100% sits,2020 100% sits,DCU,Maynooth University,NUIG,Trinity,UCC,UCD,University of Limerick,RCSI,TU Dublin,MTU,TUS,Dundalk  IT,Galway-Mayo  IT,Dun Laoghaire  IADT,IT  Carlow,IT  Sligo,Letterkenny  IT,Waterford  IT,Marino Institute of Education,Mary Immaculate College,National College of Art & Design,"St Angela's College, Sligo",National College of Ireland,"St Patrick's, Carlow",DBS,Griffith College,"Queen's University, Belfast",University of Ulster
"Coláiste Cholmcille, Ballyshannon",Co. Donegal,81,77%,100%,2,4,10,3,0,4,3,0,1,0,2,0,6,1,0,15,5,0,0,1,0,1,0,0,0,0,4,0
"Abbey Vocational School, Donegal",Co. Donegal,131,76%,83%,9,6,11,2,1,3,11,0,1,0,0,0,5,0,0,17,18,0,3,0,0,2,0,0,1,0,7,3
Moville Community College,Co. Donegal,90,73%,78%,2,5,5,0,1,0,1,0,0,2,1,0,3,0,0,2,30,0,0,0,1,1,0,0,0,0,5,7
Carndonagh Community School,Co. Donegal,154,73%,84%,4,7,4,2,0,7,2,0,2,0,1,1,5,0,1,2,43,0,0,0,0,1,0,0,0,0,10,20
"Scoil Mhuire, Buncrana",Co. Donegal,119,72%,89%,1,4,4,1,0,1,0,0,0,0,0,0,0,0,0,8,47,0,0,0,0,0,0,0,0,1,4,15
"Magh Éne College, Bundoran",Co. Donegal,50,70%,85%,3,2,5,0,0,3,0,0,0,0,1,2,1,0,0,13,2,0,0,0,0,1,0,0,0,0,2,0
"Mulroy College, Milford",Co. Donegal,80,68%,66%,2,2,2,1,0,1,2,0,0,0,1,1,5,0,0,6,28,0,0,0,0,0,0,0,0,0,2,1
"Deele College, Raphoe",Co. Donegal,78,62%,58%,3,0,3,0,1,1,0,0,1,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,1,6
"Royal And Prior Comprehensive, Raphoe",Co. Donegal,116,56%,78%,8,0,5,1,0,0,0,0,0,0,1,1,0,0,0,2,32,0,0,0,0,1,0,0,0,0,5,9
"Finn Valley College, Stranorlar",Co. Donegal,35,49%,95%,0,0,1,1,0,1,0,0,0,2,0,0,0,0,0,2,9,0,0,0,0,1,0,0,0,0,0,0
"Errigal College, Letterkenny",Co. Donegal,41,41%,44%,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1
"John Scottus Secondary School, Rathmichael",Co. Dublin,11,100%,75%,1,0,4,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0
"Christian Brothers College, Monkstown",Co. Dublin,60,100%,100%,0,0,3,9,0,27,0,1,26,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dominican College, Blackrock",Co. Dublin,46,100%,100%,7,3,0,5,0,17,0,0,13,0,0,0,1,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0
"Loreto Abbey, Dalkey",Co. Dublin,78,100%,100%,5,1,5,19,0,31,0,2,11,0,0,0,0,6,0,0,0,1,3,0,0,0,1,0,0,1,1,0
"St Joseph Of Cluny, Killiney",Co. Dublin,49,100%,100%,3,0,4,9,0,29,0,0,4,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Blackrock College,Co. Dublin,197,100%,99%,4,1,9,53,2,94,0,2,34,0,0,0,0,6,0,0,0,1,0,0,1,0,0,0,1,1,1,0
"St Andrew's College, Booterstown",Co. Dublin,151,100%,100%,4,1,10,50,2,38,0,0,33,1,0,0,0,9,0,0,0,0,0,0,4,0,1,0,2,0,2,0
"Holy Child School, Killiney",Co. Dublin,65,100%,100%,3,0,4,19,0,23,2,1,11,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Coláiste Eoin, Booterstown",Co. Dublin,83,100%,100%,2,1,0,14,0,44,0,0,18,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Oatlands College, Mount Merrion",Co. Dublin,83,100%,92%,9,1,0,5,0,28,1,0,29,0,0,0,0,6,0,0,0,1,0,0,1,0,2,0,0,1,0,0
"St Benildus College, Stillorgan",Co. Dublin,127,100%,100%,6,2,3,13,1,46,0,0,45,0,0,0,0,5,1,0,0,1,1,0,1,0,1,0,2,0,0,0
"Clonkeen College, Blackrock",Co. Dublin,64,100%,91%,3,1,0,3,0,15,1,0,22,0,0,0,0,13,1,0,0,1,0,0,0,0,3,0,1,0,0,0
"Coláiste Iosagáin, Booterstown",Co. Dublin,75,99%,100%,6,1,0,18,0,30,0,2,9,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,1,0,0,0
"Loreto College, Swords",Co. Dublin,118,97%,82%,37,7,0,6,0,12,0,0,35,0,0,3,0,1,0,0,0,0,4,0,1,0,7,0,1,0,0,0
"St Raphaela's Secondary School, Stillorgan",Co. Dublin,76,96%,89%,6,2,1,5,0,24,0,0,23,0,0,0,0,7,0,0,0,0,1,0,0,0,2,0,0,1,0,1
"Loreto, Balbriggan",Co. Dublin,193,91%,90%,43,21,3,17,0,13,0,0,32,1,1,13,1,10,0,0,1,2,4,0,8,1,4,0,1,0,0,0
"Rockford Manor, Blackrock",Co. Dublin,29,90%,73%,2,0,0,4,0,5,0,0,9,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malahide Community School,Co. Dublin,188,89%,86%,35,6,1,24,0,17,1,0,51,0,0,0,1,7,0,0,0,0,2,0,3,1,14,0,5,0,0,0
"Newpark Comprehensive, Blackrock",Co. Dublin,129,88%,90%,6,3,4,16,2,29,0,0,26,0,1,0,0,16,1,0,0,3,0,0,3,0,1,0,3,0,0,0
"Coláiste Ghlór Na Mara, Balbriggan",Co. Dublin,27,85%,72%,6,2,0,7,0,1,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St Joseph's College, Lucan",Co. Dublin,141,85%,92%,12,37,2,13,1,16,0,2,24,0,0,2,1,0,0,0,0,0,0,0,2,1,5,0,2,0,0,0
"Coláiste Cois Life, Lucan",Co. Dublin,137,82%,89%,21,31,4,13,1,11,1,0,14,0,1,0,0,0,1,0,0,0,12,0,1,1,0,0,0,0,1,0
Adamstown Community College,Co. Dublin,143,82%,67%,8,31,0,8,0,17,0,0,37,2,0,2,1,0,1,0,0,1,0,0,1,0,3,0,4,1,0,0
"Coláiste Padraig CBS, Lucan",Co. Dublin,88,80%,86%,5,14,0,5,0,5,0,2,23,1,1,0,0,3,1,0,0,0,0,0,1,0,4,0,4,1,0,0
Lucan Community College,Co. Dublin,126,78%,84%,11,33,1,14,0,14,0,0,14,0,0,1,0,0,2,0,0,0,2,0,0,0,4,0,1,0,0,1
Portmarnock Community School,Co. Dublin,144,77%,91%,33,2,1,13,1,11,0,0,37,0,1,0,0,2,0,0,0,0,3,0,2,0,3,0,1,1,0,0
"St Joseph's Secondary School, Rush",Co. Dublin,102,76%,64%,22,14,0,5,0,3,0,0,18,1,0,5,1,0,0,1,0,1,0,0,3,0,3,0,1,0,0,0
Donabate Community College,Co. Dublin,97,76%,80%,10,5,0,11,0,2,0,0,24,0,0,6,0,2,0,0,0,0,2,0,1,1,6,0,4,0,0,0
Skerries Community College,Co. Dublin,156,75%,85%,27,8,1,18,0,10,1,0,35,0,2,5,0,0,0,0,0,0,2,0,0,1,4,0,2,1,0,0
"St Finian's Community College, Swords",Co. Dublin,82,74%,58%,20,5,0,1,1,4,0,0,19,1,1,3,0,0,1,0,1,0,1,0,0,0,2,0,1,0,0,0
"Coláiste Choilm, Swords",Co. Dublin,96,71%,72%,16,1,0,7,0,1,1,0,28,0,0,0,1,2,0,0,1,1,0,0,0,0,7,0,2,0,0,0
"Rathdown School, Glenageary",Co. Dublin,43,70%,100%,3,1,1,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lusk Community College,Co. Dublin,121,69%,65%,23,2,0,5,0,5,0,0,22,0,0,3,1,2,0,0,3,0,1,0,1,0,6,0,7,3,0,0
Ardgillan Community College,Co. Dublin,148,69%,65%,27,11,1,3,1,13,0,0,29,0,0,10,1,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0
"Kishoge Community College, Lucan",Co. Dublin,107,67%,57%,6,25,0,4,1,8,0,0,22,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0
"Holy Child Community School, Sallynoggin",Co. Dublin,15,67%,45%,0,0,1,0,0,5,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Fingal Community College, Swords",Co. Dublin,151,60%,64%,11,7,1,7,0,7,0,0,31,0,0,5,0,2,0,0,1,2,1,0,1,0,10,0,4,1,0,0
Balbriggan Community College,Co. Dublin,88,58%,55%,13,1,0,1,0,6,0,0,11,0,0,9,1,2,0,0,0,2,0,0,0,0,3,0,1,1,0,0
Belvedere College,Co. Dublin,164,100%,99%,48,8,3,50,0,23,0,4,28,0,0,0,1,5,0,0,0,0,0,0,3,0,3,0,1,0,0,0
O'Connell CBS,Co. Dublin,36,53%,84%,1,3,0,2,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,0,0
Mount Carmel Secondary School,Co. Dublin,57,46%,61%,0,4,0,6,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,1,0,0,0
Larkin Community College,Co. Dublin,77,32%,93%,4,3,0,1,1,2,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Loreto College, St Stephen's Green",Co. Dublin,92,100%,100%,17,2,8,25,1,23,0,1,14,0,1,0,0,2,0,0,0,0,2,0,2,0,0,0,1,0,3,0
Catholic University School,Co. Dublin,82,100%,100%,21,2,4,11,0,8,0,0,26,2,0,0,0,5,0,0,0,0,0,0,1,0,1,0,2,0,0,0
CBS Westland Row,Co. Dublin,22,50%,71%,0,1,0,1,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Holy Faith Secondary School, Clontarf",Co. Dublin,103,100%,100%,24,0,7,32,0,14,1,0,15,0,0,0,0,1,1,0,1,0,4,0,2,1,0,0,2,0,0,0
"Mount Temple, Malahide Road",Co. Dublin,139,86%,92%,30,5,2,20,1,16,0,0,25,0,2,1,1,3,1,0,0,0,0,0,5,0,4,0,2,1,1,0
"St Joseph's CBS, Fairview",Co. Dublin,30,83%,62%,3,2,0,1,0,3,0,0,5,0,0,1,1,3,1,0,1,0,0,0,0,0,2,0,1,1,0,0
Marino College,Co. Dublin,33,79%,52%,4,0,0,1,0,2,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
"The Teresian School, Donnybrook",Co. Dublin,30,100%,88%,1,0,0,12,0,12,0,1,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"St Conleth's College, Clyde Road",Co. Dublin,32,100%,100%,5,0,1,6,0,11,0,0,7,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,0
"Muckross Park College, Donnybrook",Co. Dublin,113,100%,100%,4,2,2,22,0,58,0,1,24,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,0,1,0
"St Michael's College, Ballsbridge",Co. Dublin,98,100%,94%,6,2,1,23,1,45,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marian College, Ballsbridge",Co. Dublin,55,82%,76%,9,1,0,3,0,7,1,0,18,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Ringsend College,Co. Dublin,30,30%,16%,0,0,0,2,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Manor House School, Raheny",Co. Dublin,108,92%,77%,34,7,0,18,0,8,2,1,12,1,0,0,0,3,0,1,0,1,1,0,1,0,5,0,2,1,0,1
"Ardscoil La Salle, Raheny",Co. Dublin,28,79%,58%,3,1,0,6,0,1,0,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"St Paul's College, Raheny",Co. Dublin,96,76%,72%,21,1,0,6,0,3,0,2,26,0,1,0,0,0,1,0,0,0,0,0,1,0,9,0,2,0,0,0
"St Mary's Holy Faith, Killester",Co. Dublin,46,57%,42%,11,1,0,1,0,1,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0
"Mercy College, Coolock",Co. Dublin,71,55%,40%,6,3,0,7,0,4,0,0,10,0,1,1,0,0,0,0,0,0,2,0,1,0,2,0,1,1,0,0
"Chanel College, Coolock",Co. Dublin,103,50%,40%,23,0,0,3,0,1,1,0,13,0,0,2,0,0,0,0,1,0,0,0,0,0,6,0,1,0,0,0
"St David's, Artane",Co. Dublin,72,47%,51%,10,1,0,2,0,2,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"St Mary's, Rathmines",Co. Dublin,83,100%,92%,3,4,3,9,0,47,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gonzaga College, Ranelagh",Co. Dublin,90,100%,100%,1,0,1,30,0,42,0,0,17,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The High School, Rathgar",Co. Dublin,106,100%,98%,10,3,4,30,0,26,0,1,22,0,0,0,0,5,0,0,0,0,1,0,5,0,0,0,0,0,0,0
"Alexandra College, Milltown",Co. Dublin,86,90%,97%,3,1,5,21,0,33,2,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0
"Stratford College, Rathgar",Co. Dublin,25,88%,65%,1,1,0,7,0,4,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sandford Park, Ranelagh",Co. Dublin,65,88%,93%,3,0,1,11,2,28,0,0,4,1,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"St Louis, Rathmines",Co. Dublin,91,79%,83%,8,11,1,10,0,14,0,0,19,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,1,2,0,0
"Our Lady's, Terenure",Co. Dublin,109,100%,95%,7,7,4,19,0,38,0,3,27,1,0,0,0,4,0,0,0,0,1,0,1,0,1,0,1,1,2,0
Terenure College,Co. Dublin,103,96%,100%,5,1,1,7,1,33,1,0,39,0,1,0,1,3,0,0,0,1,0,0,0,0,0,0,1,3,1,0
Templeogue College,Co. Dublin,109,87%,85%,12,8,1,8,0,27,1,0,32,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0
"Presentation College, Terenure",Co. Dublin,47,72%,65%,2,2,0,4,0,7,0,0,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"St MacDara's Community College, Templeogue",Co. Dublin,153,64%,79%,12,13,0,4,0,15,0,0,44,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,1,0,0,0
"St Dominic's, Cabra",Co. Dublin,151,81%,84%,32,14,0,14,0,16,0,1,28,0,0,1,0,1,1,0,1,1,2,0,0,1,3,0,5,1,0,0
"St Declan's, Cabra",Co. Dublin,115,66%,68%,14,13,2,8,0,8,0,1,23,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,1,1,0,0
"Coláiste Mhuire, Cabra",Co. Dublin,36,64%,78%,8,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0
"St Joseph's, Stanhope Street",Co. Dublin,29,55%,58%,6,2,0,0,0,2,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St Paul's CBS, North Brunswick Street",Co. Dublin,43,44%,53%,0,1,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
"Mercy Secondary School, Inchicore",Co. Dublin,17,100%,100%,4,1,0,6,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Presentation Secondary School, Warrenmount",Co. Dublin,27,70%,36%,0,5,0,2,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
Synge Street CBS,Co. Dublin,39,69%,61%,1,2,1,4,0,4,0,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,1,1,0,0
St Patrick's Cathedral Grammar,Co. Dublin,31,65%,93%,2,1,1,3,1,1,0,0,3,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0
James's Street CBS,Co. Dublin,25,44%,57%,1,0,0,2,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Plunket College, Whitehall",Co. Dublin,22,100%,50%,4,1,0,0,0,2,0,0,13,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
"Dominican College, Griffith Avenue",Co. Dublin,116,100%,94%,45,5,2,20,1,9,0,1,17,1,1,0,0,2,0,0,1,0,4,0,2,0,2,0,2,1,0,0
"Rosmini Community School, Drumcondra",Co. Dublin,14,86%,76%,5,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St Aidan's, Whitehall",Co. Dublin,124,84%,76%,25,5,1,6,0,5,0,0,48,0,0,1,0,2,2,0,0,1,0,0,0,0,5,0,2,1,0,0
"Ard Scoil Rís, Griffith Avenue",Co. Dublin,92,82%,89%,33,0,1,11,0,7,0,0,13,1,1,0,0,2,0,0,0,0,1,0,0,0,3,0,1,1,0,0
"Maryfield College, Drumcondra",Co. Dublin,88,78%,65%,29,3,1,10,0,4,0,0,10,0,1,0,0,1,1,0,0,1,1,0,2,0,2,0,1,0,0,2
"Scoil Chaitriona, Glasnevin",Co. Dublin,65,63%,70%,18,0,0,7,1,6,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0
"Our Lady Of Mercy, Beaumont",Co. Dublin,65,60%,69%,11,1,0,3,0,4,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,4,0,0,0
"Trinity Comprehensive, Ballymun",Co. Dublin,45,31%,38%,3,1,0,2,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"St John's College De La Salle, Ballyfermot",Co. Dublin,39,67%,49%,3,5,0,1,0,4,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0
"Caritas College, Ballyfermot",Co. Dublin,18,56%,100%,0,3,0,2,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St Dominic's, Ballyfermot",Co. Dublin,42,48%,46%,2,6,0,2,0,1,0,0,4,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Kylemore College, Ballyfermot",Co. Dublin,38,47%,41%,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"St Kevin's, Finglas",Co. Dublin,57,70%,62%,6,4,0,2,0,1,0,0,13,1,0,0,0,0,0,0,0,0,0,0,1,0,11,0,1,0,0,0
"St Mary's, Glasnevin",Co. Dublin,143,70%,76%,31,16,0,8,0,6,0,0,22,0,1,0,0,1,0,1,0,0,2,0,4,0,6,0,2,0,0,0
"St Michael's, Finglas",Co. Dublin,80,56%,48%,12,15,0,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0
"St Vincent's CBS, Glasnevin",Co. Dublin,44,55%,56%,8,1,0,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0
"Beneavin College, Finglas",Co. Dublin,68,35%,34%,6,2,0,1,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"New Cross, Finglas",Co. Dublin,27,19%,100%,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St Paul's, Greenhills",Co. Dublin,78,87%,93%,4,10,0,6,0,14,0,1,24,0,1,0,0,1,2,0,0,1,1,0,0,0,2,0,1,0,0,0
"Pearse College, Crumlin",Co. Dublin,30,77%,61%,2,3,0,3,1,3,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"Assumption Secondary School, Walkinstown",Co. Dublin,42,76%,69%,2,3,0,3,0,2,0,0,14,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,2,1,0,0
"Rosary College, Crumlin",Co. Dublin,15,67%,53%,1,2,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
"Our Lady Of Mercy, Drimnagh",Co. Dublin,35,60%,38%,0,6,0,0,0,2,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Loreto College, Crumlin",Co. Dublin,60,60%,60%,8,5,0,3,0,3,0,0,7,0,0,0,0,3,0,0,0,0,1,0,1,0,2,0,2,1,0,0
"St Kevin's College, Crumlin",Co. Dublin,18,56%,53%,1,1,0,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Drimnagh Castle CBS,Co. Dublin,115,48%,59%,6,9,0,5,0,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0
Sutton Park School,Co. Dublin,49,100%,100%,13,3,3,10,0,8,1,2,8,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,2,0
"Santa Sabina, Sutton",Co. Dublin,91,100%,94%,20,3,1,26,1,11,1,2,22,0,0,1,0,5,1,0,0,1,1,0,0,0,0,0,1,0,0,0
"St Fintan's High School, Sutton",Co. Dublin,107,86%,87%,34,3,0,12,1,8,0,0,19,0,0,0,1,1,1,0,0,0,0,0,1,0,5,0,5,1,0,0
"Gaelcholáiste Reachrann, Donaghmede",Co. Dublin,63,81%,77%,8,1,0,6,0,3,0,0,18,0,0,1,1,1,1,0,0,0,3,0,1,0,5,0,2,0,0,0
"St Mary's Secondary School, Baldoyle",Co. Dublin,56,79%,61%,12,2,0,3,1,4,0,0,15,1,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0
"Grange Community College, Donaghmeda",Co. Dublin,33,70%,40%,5,2,0,2,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
"Pobalscoil Neasáin, Baldoyle",Co. Dublin,95,56%,56%,13,7,0,4,0,3,0,0,12,0,0,2,1,1,0,0,0,0,0,0,1,1,3,0,1,4,0,0
Donahies Community School,Co. Dublin,66,41%,33%,10,0,0,2,0,1,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0
"Mount Anville, Goatstown",Co. Dublin,89,100%,100%,5,0,2,21,0,52,1,2,6,0,0,0,0,2,0,0,0,0,1,0,2,0,0,1,0,0,0,0
"Deutsche Schule, Clonskeagh",Co. Dublin,31,94%,63%,1,2,0,7,0,12,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Our Lady's Grove, Goatstown",Co. Dublin,43,88%,83%,1,0,0,1,0,14,0,1,13,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0
"De La Salle, Churchtown",Co. Dublin,46,76%,66%,3,1,0,2,0,6,0,0,17,0,0,0,0,2,0,0,0,0,1,0,0,0,3,0,0,0,0,0
"Gaelcholáiste An Phiarsaigh, Rathfarnham",Co. Dublin,30,63%,57%,4,0,1,3,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Castleknock College,Co. Dublin,120,100%,100%,26,20,2,18,1,30,0,1,13,0,3,1,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0
Castleknock Community College,Co. Dublin,172,95%,99%,39,32,3,18,0,25,0,1,35,0,0,2,0,2,1,0,0,0,0,0,0,0,1,0,3,2,0,0
"Coláiste Pobail Setanta, Phibblestown",Co. Dublin,173,84%,79%,18,38,0,7,0,10,1,0,49,0,0,3,0,1,2,1,0,0,0,0,1,0,9,0,3,2,0,0
"Hartstown Community School, Clonsilla",Co. Dublin,163,71%,70%,14,26,0,9,0,6,0,0,41,1,2,2,1,0,4,0,1,0,1,0,2,0,2,0,1,2,0,0
"Luttrellstown Community College, Clonsilla",Co. Dublin,153,67%,74%,8,40,0,9,0,4,0,0,33,1,0,0,0,0,1,0,0,0,1,0,0,0,3,0,1,1,0,0
